knowledge_id,tag_id
111,15
111,12
113,15
115,15
116,11
117,11
118,11
119,11
119,23
120,11
121,11
122,11
123,11
123,23
124,11
125,11
126,11
126,23
127,11
127,20
128,11
128,20
129,11
130,11
130,15
131,11
132,11
133,11
133,23
134,11
135,11
136,11
136,20
136,12
137,11
137,12
138,11
138,12
139,11
139,12
144,12
146,12
150,12
156,12
162,12
166,12
174,12
174,23
175,12
175,15
176,12
176,22
177,12
177,20
178,12
178,15
179,12
179,22
180,12
180,15
180,22
181,12
181,15
181,22
182,12
183,12
183,15
183,23
184,12
185,12
185,15
186,12
186,15
187,12
201,12
