knowledge_id,tag_id
4,15
4,12
6,15
8,15
9,11
10,11
11,11
12,11
12,23
13,11
14,11
15,11
16,11
16,23
17,11
18,11
19,11
19,23
20,11
20,20
22,11
22,20
23,11
24,11
24,15
25,11
26,11
27,11
27,23
28,11
29,11
30,11
30,20
30,12
31,11
31,12
33,11
33,12
34,11
34,12
39,12
41,12
45,12
51,12
57,12
61,12
69,12
69,23
70,12
70,15
71,12
71,22
73,12
73,20
74,12
74,15
75,12
75,22
76,12
76,15
76,22
77,12
77,15
77,22
78,12
79,12
79,15
79,23
80,12
81,12
81,15
82,12
82,15
83,12
97,12
